status_id,award_type_id,number
0,0,1
1,1,1
1,3,1
1,4,1
2,2,1
3,5,1
0,0,2
1,3,2
2,2,2
0,0,3
2,1,3
1,4,3
1,0,4
1,3,4
4,4,4
1,6,4
2,2,4
1,0,7
1,4,7
2,2,7
1,0,20
2,1,20
1,0,22
2,2,22
1,0,24
2,2,24
1,0,25
2,2,25
1,0,27
2,2,27
1,0,28
2,1,28
4,0,5
1,1,5
1,3,5
1,6,5
2,2,5
4,0,6
1,1,6
4,6,6
1,7,6
2,2,6
4,0,8
1,1,8
1,3,8
1,6,8
1,7,8
2,2,8
4,0,9
1,1,9
1,3,9
1,4,9
1,6,9
1,7,9
2,2,9
4,0,10
1,1,10
4,3,10
1,6,10
1,8,10
2,2,10
4,0,11
2,1,11
4,4,11
1,6,11
1,8,11
1,2,11
4,0,13
2,2,13
4,0,15
1,1,15
2,2,15
4,0,19
4,4,19
2,2,19
4,0,21
2,1,21
1,4,21
4,0,23
4,3,23
1,6,23
1,7,23
2,2,23
2,1,12
2,1,14
2,1,17
2,1,18
2,1,26
2,2,16
