category_id,genre_value_id,number
0,0,1
0,1,1
0,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
0,0,2
0,1,2
0,2,2
1,4,2
1,8,2
1,9,2
0,0,3
0,1,3
0,2,3
1,4,3
1,5,3
1,6,3
1,7,3
1,9,3
0,0,4
0,1,4
0,2,4
1,3,4
1,4,4
1,5,4
1,6,4
1,7,4
0,0,5
0,1,5
0,2,5
1,3,5
1,4,5
1,8,5
1,9,5
1,10,5
0,0,6
0,1,6
0,11,6
1,4,6
1,7,6
1,12,6
0,0,7
0,1,7
0,2,7
1,4,7
1,13,7
1,14,7
0,0,8
0,1,8
0,2,8
1,4,8
1,5,8
1,8,8
0,0,9
0,1,9
0,15,9
1,4,9
1,16,9
1,17,9
1,18,9
1,19,9
1,20,9
0,0,10
0,1,10
0,2,10
1,4,10
1,21,10
1,22,10
0,0,11
0,1,11
0,2,11
1,4,11
1,5,11
1,6,11
1,7,11
0,0,12
0,1,12
0,2,12
1,4,12
1,13,12
1,14,12
1,23,12
1,24,12
1,25,12
0,0,13
0,1,13
0,11,13
1,4,13
1,9,13
1,21,13
1,26,13
1,27,13
1,28,13
0,0,14
0,1,14
0,2,14
1,4,14
1,5,14
0,0,15
0,1,15
0,2,15
1,4,15
1,5,15
1,21,15
0,0,16
0,1,16
0,11,16
1,3,16
1,4,16
1,8,16
1,29,16
0,0,17
0,1,17
0,2,17
1,4,17
1,5,17
1,8,17
1,10,17
0,0,18
0,1,18
0,2,18
1,4,18
1,13,18
1,14,18
1,23,18
0,0,19
0,1,19
0,30,19
1,4,19
1,5,19
1,6,19
1,31,19
1,32,19
0,0,20
0,1,20
0,11,20
1,4,20
1,7,20
1,12,20
1,19,20
0,0,21
0,1,21
0,2,21
1,4,21
1,5,21
1,6,21
1,7,21
1,33,21
0,0,22
0,1,22
0,2,22
1,4,22
1,6,22
1,9,22
1,27,22
1,34,22
0,0,23
0,1,23
0,2,23
1,4,23
1,5,23
1,31,23
0,0,24
0,1,24
0,2,24
1,4,24
1,5,24
1,10,24
1,21,24
1,26,24
0,0,25
0,1,25
0,2,25
1,4,25
1,5,25
1,21,25
1,31,25
1,35,25
0,0,26
0,1,26
0,11,26
1,4,26
1,12,26
1,19,26
1,20,26
1,36,26
0,0,27
0,1,27
0,2,27
1,4,27
1,5,27
1,7,27
1,37,27
0,0,28
0,1,28
0,2,28
1,4,28
1,9,28
1,21,28
1,35,28
1,38,28
