poeple_id,role_type_id,number
0,0,1
0,4,1
6,4,1
8,4,1
9,4,1
4,3,1
5,3,1
6,3,1
7,3,1
1,1,1
2,2,1
3,2,1
0,0,2
0,4,2
6,4,2
9,4,2
6,3,2
12,3,2
13,3,2
1,1,2
10,2,2
11,2,2
6,5,2
0,0,3
0,4,3
6,4,3
8,4,3
14,4,3
6,3,3
18,3,3
19,3,3
20,3,3
1,1,3
16,2,3
17,2,3
14,5,3
15,5,3
0,0,7
0,4,7
9,4,7
34,4,7
0,3,7
9,3,7
33,3,7
34,3,7
35,3,7
36,3,7
1,1,7
10,2,7
9,5,7
0,0,12
0,4,12
33,4,12
38,4,12
46,3,12
31,1,12
45,2,12
38,5,12
6,0,5
6,4,5
6,3,5
28,3,5
29,3,5
26,1,5
27,2,5
15,5,5
6,0,9
6,4,9
8,4,9
6,3,9
41,3,9
26,1,9
40,2,9
6,0,17
6,4,17
6,3,17
62,3,17
26,1,17
61,2,17
60,5,17
8,0,4
8,4,4
23,4,4
24,4,4
25,4,4
6,3,4
22,3,4
1,1,4
10,2,4
15,5,4
21,5,4
8,0,10
8,4,10
28,4,10
43,4,10
8,3,10
28,3,10
31,1,10
42,2,10
28,5,10
8,0,15
8,4,15
54,4,15
8,3,15
52,3,15
53,3,15
31,1,15
42,2,15
51,5,15
8,0,23
8,4,23
79,4,23
83,4,23
8,3,23
79,3,23
83,3,23
80,1,23
81,1,23
82,2,23
79,5,23
15,0,11
0,4,11
6,4,11
15,4,11
44,3,11
1,1,11
10,2,11
15,0,19
15,4,19
67,4,19
68,4,19
69,4,19
67,3,19
68,3,19
31,1,19
10,2,19
67,5,19
30,0,6
30,4,6
30,3,6
31,1,6
32,2,6
30,0,8
30,4,8
37,4,8
39,4,8
30,3,8
31,1,8
38,2,8
37,5,8
30,0,20
30,4,20
30,3,20
31,1,20
32,2,20
70,2,20
47,0,13
47,0,13
47,4,13
47,3,13
47,3,13
47,3,13
47,3,13
47,1,13
47,2,13
47,5,13
48,0,14
22,4,14
48,4,14
50,4,14
22,3,14
48,3,14
50,3,14
1,1,14
49,2,14
48,0,22
48,4,22
77,4,22
78,4,22
48,3,22
77,3,22
78,3,22
56,1,22
57,1,22
49,2,22
52,0,21
0,4,21
6,4,21
52,4,21
72,4,21
73,4,21
74,4,21
75,4,21
76,4,21
6,3,21
72,3,21
1,1,21
42,2,21
71,2,21
55,0,16
28,4,16
53,4,16
55,4,16
58,4,16
59,4,16
53,3,16
56,1,16
57,1,16
45,2,16
55,0,27
55,4,27
90,4,27
91,4,27
92,4,27
90,3,27
91,3,27
92,3,27
26,1,27
45,2,27
59,0,28
53,4,28
59,4,28
53,3,28
94,3,28
93,1,28
71,2,28
60,0,26
60,4,26
68,4,26
78,4,26
60,3,26
78,3,26
31,1,26
89,2,26
63,0,18
46,4,18
63,4,18
65,4,18
66,4,18
28,3,18
36,3,18
64,3,18
1,1,18
11,2,18
84,0,24
84,4,24
84,4,24
84,4,24
84,3,24
84,3,24
84,1,24
84,2,24
85,0,25
85,4,25
87,4,25
88,4,25
85,3,25
87,3,25
86,1,25
61,2,25
