rotten_tomatoes_score,rotten_tomatoes_counts,metacritic_score,metacritic_counts,imdb_score,imdb_counts,cinema_score_id,number
100,96,95,26,8.3,1089101,0,1
92,91,78,23,7.2,319596,0,2
75,204,73,39,7.2,484034,0,7
96,253,96,37,8.1,851229,0,8
95,261,95,39,8.4,1226415,0,9
98,313,92,39,8.3,908222,0,11
79,256,69,37,7.1,452012,0,13
80,203,65,41,7.2,398903,0,14
98,387,94,55,8.1,834268,0,15
75,220,66,37,6.7,130324,0,16
94,339,77,48,7.2,311793,0,17
69,234,59,41,6.7,128849,0,18
97,459,84,57,7.6,288783,0,21
73,262,58,45,7.0,140174,0,27
90,313,73,59,7.6,168090,0,28
100,172,88,34,7.9,630573,1,3
96,199,79,35,8.1,1000657,1,4
99,270,90,38,8.2,1132877,1,5
97,250,90,41,8.0,828986,1,6
98,297,88,37,8.3,1151249,1,10
97,357,81,48,8.4,618005,1,19
93,390,80,51,7.5,341353,1,20
40,220,57,38,6.2,225724,2,12
88,350,64,56,7.4,174917,2,22
74,319,60,57,6.1,127045,2,26
